Day,r
1958/6/1,0.029493
1958/7/1,0.044844
1958/8/1,0.019181
1958/9/1,0.04868
1958/10/1,0.027184
1958/11/1,0.03061
1958/12/1,0.053099
1959/1/1,0.00912
1959/2/1,0.01122
1959/3/1,0.004669
1959/4/1,0.037899
1959/5/1,0.019595
1959/6/1,0.000676
1959/7/1,0.034362
1959/8/1,-0.012446
1959/9/1,-0.044977
1959/10/1,0.015746
1959/11/1,0.018557
1959/12/1,0.028043
1960/1/1,-0.066244
1960/2/1,0.014419
1960/3/1,-0.012822
1960/4/1,-0.015271
1960/5/1,0.034098
1960/6/1,0.022833
1960/7/1,-0.022705
1960/8/1,0.032215
1960/9/1,-0.058673
1960/10/1,-0.004705
1960/11/1,0.048617
1960/12/1,0.048537
1961/1/1,0.063952
1961/2/1,0.037005
1961/3/1,0.03061
1961/4/1,0.005645
1961/5/1,0.025894
1961/6/1,-0.028499
1961/7/1,0.029955
1961/8/1,0.026854
1961/9/1,-0.01999
1961/10/1,0.027331
1961/11/1,0.045451
1961/12/1,0.000713
1962/1/1,-0.036147
1962/2/1,0.019512
1962/3/1,-0.004688
1962/4/1,-0.063435
1962/5/1,-0.08462
1962/6/1,-0.082615
1962/7/1,0.065438
1962/8/1,0.023417
1962/9/1,-0.050158
1962/10/1,0.002188
1962/11/1,0.110137
1962/12/1,0.011865
1963/1/1,0.051848
1963/2/1,-0.021931
1963/3/1,0.032917
1963/4/1,0.047439
1963/5/1,0.020051
1963/6/1,-0.01803
1963/7/1,-0.001717
1963/8/1,0.052684
1963/9/1,-0.011898
1963/10/1,0.027708
1963/11/1,-0.005549
1963/12/1,0.021737
1964/1/1,0.02579
1964/2/1,0.017207
1964/3/1,0.017636
1964/4/1,0.004607
1964/5/1,0.017403
1964/6/1,0.01508
1964/7/1,0.020118
1964/8/1,-0.011266
1964/9/1,0.03048
1964/10/1,0.008869
1964/11/1,0.00309
1964/12/1,0.00369
1965/1/1,0.038646
1965/2/1,0.006946
1965/3/1,-0.009715
1965/4/1,0.033652
1965/5/1,-0.004351
1965/6/1,-0.051868
1965/7/1,0.01676
1965/8/1,0.030883
1965/9/1,0.031952
1965/10/1,0.029271
1965/11/1,0.003065
1965/12/1,0.013545
1966/1/1,0.012122
1966/2/1,-0.008621
1966/3/1,-0.020923
1966/4/1,0.024837
1966/5/1,-0.052538
1966/6/1,-0.010317
1966/7/1,-0.01287
1966/8/1,-0.075388
1966/9/1,-0.006958
1966/10/1,0.042294
1966/11/1,0.017516
1966/12/1,0.00621
1967/1/1,0.08553
1967/2/1,0.010945
1967/3/1,0.043384
1967/4/1,0.041609
1967/5/1,-0.039293
1967/6/1,0.026902
1967/7/1,0.04919
1967/8/1,-0.006282
1967/9/1,0.034286
1967/10/1,-0.027433
1967/11/1,0.007902
1967/12/1,0.033699
1968/1/1,-0.036331
1968/2/1,-0.033624
1968/3/1,0.005117
1968/4/1,0.094148
1968/5/1,0.02704
1968/6/1,0.011527
1968/7/1,-0.022024
1968/8/1,0.018037
1968/9/1,0.044454
1968/10/1,0.009041
1968/11/1,0.058501
1968/12/1,-0.033873
1969/1/1,-0.006711
1969/2/1,-0.053641
1969/3/1,0.030505
1969/4/1,0.020527
1969/5/1,0.00504
1969/6/1,-0.067388
1969/7/1,-0.065171
1969/8/1,0.051491
1969/9/1,-0.02259
1969/10/1,0.055637
1969/11/1,-0.032164
1969/12/1,-0.01968
1970/1/1,-0.073254
1970/2/1,0.056706
1970/3/1,-0.004729
1970/4/1,-0.105318
1970/5/1,-0.064346
1970/6/1,-0.051067
1970/7/1,0.07417
1970/8/1,0.050036
1970/9/1,0.047535
1970/10/1,-0.018208
1970/11/1,0.050448
1970/12/1,0.060723
1971/1/1,0.05203
1971/2/1,0.016913
1971/3/1,0.044778
1971/4/1,0.033332
1971/5/1,-0.036409
1971/6/1,0.003119
1971/7/1,-0.040283
1971/8/1,0.042511
1971/9/1,-0.005016
1971/10/1,-0.040683
1971/11/1,-0.001262
1971/12/1,0.091257
1972/1/1,0.028382
1972/2/1,0.031349
1972/3/1,0.008723
1972/4/1,0.005505
1972/5/1,0.016375
1972/6/1,-0.020897
1972/7/1,-0.004254
1972/8/1,0.035966
1972/9/1,-0.00767
1972/10/1,0.008676
1972/11/1,0.049764
1972/12/1,0.011243
1973/1/1,-0.027454
1973/2/1,-0.04437
1973/3/1,-0.007857
1973/4/1,-0.051769
1973/5/1,-0.024508
1973/6/1,-0.008648
1973/7/1,0.056961
1973/8/1,-0.029657
1973/9/1,0.053931
1973/10/1,-0.000415
1973/11/1,-0.120713
1973/12/1,0.011437
1974/1/1,0.004413
1974/2/1,0.002345
1974/3/1,-0.023364
1974/4/1,-0.045961
1974/5/1,-0.041981
1974/6/1,-0.022942
1974/7/1,-0.070874
1974/8/1,-0.087757
1974/9/1,-0.109718
1974/10/1,0.165584
1974/11/1,-0.041046
1974/12/1,-0.027005
1975/1/1,0.1416
1975/2/1,0.058412
1975/3/1,0.03019
1975/4/1,0.046497
1975/5/1,0.05514
1975/6/1,0.051473
1975/7/1,-0.060385
1975/8/1,-0.023558
1975/9/1,-0.03801
1975/10/1,0.055857
1975/11/1,0.031222
1975/12/1,-0.010998
1976/1/1,0.126012
1976/2/1,0.00731
1976/3/1,0.02674
1976/4/1,-0.010402
1976/5/1,-0.009326
1976/6/1,0.044521
1976/7/1,-0.006136
1976/8/1,-0.001398
1976/9/1,0.024513
1976/10/1,-0.020372
1976/11/1,0.005363
1976/12/1,0.061591
1977/1/1,-0.036326
1977/2/1,-0.015744
1977/3/1,-0.009249
1977/4/1,0.004962
1977/5/1,-0.010777
1977/6/1,0.051369
1977/7/1,-0.012806
1977/8/1,-0.013338
1977/9/1,0.001572
1977/10/1,-0.039278
1977/11/1,0.04544
1977/12/1,0.008223
1978/1/1,-0.055199
1978/2/1,-0.009275
1978/3/1,0.034009
1978/4/1,0.082853
1978/5/1,0.02323
1978/6/1,-0.010748
1978/7/1,0.056741
1978/8/1,0.04237
1978/9/1,-0.006889
1978/10/1,-0.110995
1978/11/1,0.033787
1978/12/1,0.017708
1979/1/1,0.04953
1979/2/1,-0.026765
1979/3/1,0.065613
1979/4/1,0.00852
1979/5/1,-0.013571
1979/6/1,0.046852
1979/7/1,0.014991
1979/8/1,0.064732
1979/9/1,0.001426
1979/10/1,-0.072662
1979/11/1,0.063604
1979/12/1,0.028215
1980/1/1,0.065607
1980/2/1,0.001015
1980/3/1,-0.120224
1980/4/1,0.052287
1980/5/1,0.06009
1980/6/1,0.037714
1980/7/1,0.069438
1980/8/1,0.023554
1980/9/1,0.029498
1980/10/1,0.020095
1980/11/1,0.104952
1980/12/1,-0.034411
1981/1/1,-0.040085
1981/2/1,0.015519
1981/3/1,0.046183
